"","x"
"1187","head aches"
"1188","thining hair"
"1189","pinches  skin"
"1190","pinches   fingers"
"1191","could not hold it"
"1192","brown water"
"1193","diarrehea"
"1194","elbow painful"
"1195","back discomfort"
"1196","trouble sleeping"
"1197","bloated"
"1198","vision problems"
"1199","lysine"
"1200","vitamins e"
"1201","vitamins a"
"1202","pain  every muscle"
"1203","pain  every joint"
"1204","foggy brain"
"1205","flu like symptoms"
"1206","lack  energy"
"1207","stress"
"1208","lethargic"
"1209","bypass"
"1210","ischemic heart disease"
"1211","bone/joint pain"
"1212","high ldl"
"1213","hypercholesterolaemia"
"1214","lack  enthusiasm"
"1215","short term memory loss"
"1216","metabolic syndrome"
"1217","memory problems"
"1218","inability  concentrate"
"1219","lupus"
"1220","systemic lupus erythematous"
"1221","feeling weak"
"1222","feet numbing"
"1223","pain  joints"
"1224","pain  bottom  feet"
"1225","decreased libdo"
"1226","eye sight changes"
"1227","vision changes"
"1228","calves  sore  tender   touch"
"1229","muscle aches  chest"
"1230","muscle aches  arms"
"1231","developed sore legs"
"1232","sore back"
"1233","difficult  concentrate"
"1234","toothache"
"1235","massive heart attack"
"1236","ischaemic heart disease"
"1237"," head  foggy"
"1238","symptoms  parkison's disease"
"1239","stomach distress"
"1240","eye trouble"
"1241","vision disturbances"
"1242","gum trouble"
"1243","constipated"
"1244","aches  stiffness knees"
"1245","aches  stiffness hips"
"1246","spike   blood sugar"
"1247"," walk"
"1248","pain in my knees"
"1249","unexplained sweating"
"1250","lipiltor"
"1251","leg muscle pain"
"1252","pronounced sweating"
"1253","resting pulse jumped   100  105"
"1254","resting pulse  jumped   120"
"1255","cholestorol   jumped  175  220"
"1256","hypersensitivities"
"1257","warm sensation   chest"
"1258","insommnia"
"1259","inability  visualize"
"1260","atrophy"
"1261","tendinitis"
"1262","tondonitis"
"1263","tendinopathy"
"1264","tendonopathy"
"1265","tendon contracture"
"1266","miniscus damage"
"1267","working memory  short-term memory loss"
"1268","pancreatitis"
"1269","cardiovascular disease"
"1270","gall bladder disease"
"1271","inability  walk"
"1272","nonspecific  reason"
"1273","language  learning ability loss including spoken  written aphasia  inability  read"
"1274","expressive  receptive aphasia"
"1275","loss  dreaming"
"1276","extreme weakness"
"1277"," barely walk across  room"
"1278","pain   abdomen"
"1279","flushing"
"1280","general malaise"
"1281","muscle cramps"
"1282","leathargy"
"1283","legs felt like dropping "
"1284","twitching"
"1285","pain   back  shoulder muscles"
"1286","arch problem"
"1287","achy muscles"
"1288","depressed"
"1289","sore  stiff knees"
"1290","sore  stiff ankles"
"1291","sore  stiff feet"
"1292","sore  stiff hips"
"1293","severe back  hip pain"
"1294","sleeplessness"
"1295","hip  back pain"
"1296","paranoioa"
"1297","dark thoughts"
"1298","bell's palsey"
"1299","thoughts  suicide"
"1300","back  hip pain"
"1301","muscle  joint pain"
"1302","swelling hands"
"1303","blurred vison"
"1304","  anything   hands"
"1305","charley horses  calves"
"1306","charley horses  abdomen"
"1307","charley horses  breasts"
"1308","charley horses  shoulders"
"1309","charley horses  sides"
"1310","charley horses  feet"
"1311","charley horses  legs"
"1312","mini-strokes"
"1313","charley horse  one   breasts"
"1314","charley horse   side"
"1315","charley horses   abdomen"
"1316","ulcerative colitis"
"1317","gastro/ent"
"1318","high cpk level"
"1319","colitis"
"1320","muscle pains"
"1321","restless legs syndrome (rls)"
"1322","from  sentence       determined  rls   adr."
"1323","rls"
"1324","weaknesses   legs"
"1325","leg weakness"
"1326","fall asleep"
"1327"," slept"
"1328","bizarre muscular sensations"
"1329","hair  getting  thin"
"1330","gas/wind"
"1331","flatus"
"1332","fatique"
"1333","windy"
"1334","zombie like tired"
"1335","blured vision"
"1336"," sex drive"
"1337","decrease  balance"
"1338","severe pain  calves"
"1339","unable  walk"
"1340","vertigo like attack"
"1341","zetia"
"1342","pain   neck"
"1343","blurred thinking"
"1344","confusion?"
"1345","sinus pain"
"1346","pain  back"
"1347","cholesterol high"
"1348","leg cramping"
"1349","pain traveling   stomach"
"1350","pain traveling   buddocks"
"1351","  sleep"
"1352","urge  urinate"
"1353","urgency"
"1354","elevated liver enzymes"
"1355","raised liver enzymes"
"1356","fatty liver"
"1357","pain   calves  thighs"
"1358","pain  forearms"
"1359","pain  lower back"
"1360","pad"
"1361"," climb stairs"
"1362","needed  rest every  minutes"
"1363","abdominal cramping"
"1364","iritated eyes"
"1365","eye irritation"
"1366","painful inflammed joints"
"1367","muscle spasams  face  neck"
"1368","muscle spasm  face"
"1369","painful  walk"
"1370","weakness  legs"
"1371","wasting"
"1372","foggy mental state"
"1373","nonspecific sedation?"
"1374","falling "
"1375","nonspecific mechanical? dizziness? syncope?"
"1376","nightmares"
"1377","clumsiness"
"1378","als"
"1379","attributes als  lipitor.. unlikely"
"1380","mnd"
"1381","permanent nerve damage"
"1382","soreness  muscles"
"1383","fatiqued"
"1384","buzzing   ears"
"1385","nausia"
"1386","nonspecific eructation?, flatus?, bloating?"
"1387","tricor"
"1388"," move shoulders"
"1389","hips hurt"
"1390","loss  sleep"
"1391","loss  range  motion"
"1392","added weight"
"1393","weakened muscle"
"1394","gi difficulties"
"1395","memory difficulties"
"1396","muscle-joint degeneration"
"1397","nonspecific eructation  flatus"
"1398","couldn't exercise  eat"
"1399","decreased appetite"
"1400","just wanted  sleep"
"1401","joint stiffness"
"1402","swollen"
"1403","baycol"
"1404","limits  ability climb stairs"
"1405","limits  ability lift anything"
"1406","limits  ability  walk"
"1407","thigh cramps"
"1408","loss  taste  salt  sugars"
"1409","ageusia"
"1410","taste perversion"
"1411","fibromalgia"
"1412","irritable colon"
"1413","flank pain"
"1414","hematuria"
"1415","kidney failure"
"1416","permanent liver damage"
"1417","foggy-headedness"
"1418","nonspecific confusion, sedation"
"1419","tingling  fingers"
"1420","vibrating sensation"
"1421","body ached"
"1422","toes felt arthritic;"
"1423","problems  coordination"
"1424","problems  memory"
"1425","painfull"
"1426","diarhea"
"1427","backache"
"1428","runny nose"
"1429","rhinorroea"
"1430","bloat"
"1431","leg soreness"
"1432","muscle twitching"
"1433","always worrying"
"1434","light head"
"1435","movement restriction"
"1436","decrease range  motion"
"1437","tremor"
"1438","memory deficits"
"1439","worsening cataract"
"1440","exacerbation  cataracts"
"1441","gum infections"
"1442","pain  arms"
"1443","pain  hands"
"1444","hands numb"
"1445","hands  weak"
"1446","carpal tunnel syndrome"
"1447","pain   arms"
"1448","coq"
"1449","vision severe impairment"
"1450","eye pain"
"1451","ocular pain"
"1452","heaviness  eyes"
"1453","decreased stamina"
"1454","vision reduced"
"1455","tired    time"
"1456","can't get  sleep"
"1457","no strength"
"1458","loss  breath"
"1459","afterpain"
"1460"," get   bed"
"1461","severe muscle pain  hips"
"1462","severe muscle pain  ankles"
"1463","severe muscle pain  legs"
"1464","recks  muscles severly"
"1465","anaestesia"
"1466","difficulty walking  stairs"
"1467","swollen feet  ankles"
"1468","reduced stamina"
"1469","tennis elbow"
"1470","aggression"
"1471","diaharrea"
"1472","hopelessness"
"1473","lonliness"
"1474","self loathing"
"1475","obsessively focused  morbid"
"1476","terrifying thoughts"
"1477","negative  everything   life"
"1478","spleen cancer"
"1479","amyotrophic lateral sclerosis"
"1480","lost  ability  control hands"
"1481","pain  upper legs"
"1482","prednisone 10mg"
"1483","predisone"
"1484","thyroid disease"
"1485","hives"
"1486","severe pain  arm"
"1487","severe pain  hand"
"1488","severe pain  left shoulder,"
"1489","muscle atrophy"
"1490","difficulty concentratiing"
"1491","blind spot"
"1492","high sugar attack"
"1493","hyperglycemia"
"1494","insalin"
"1495","prinivil"
"1496","actose"
"1497","bp"
"1498","estratest"
"1499","flaxseed"
"1500","digestion problems"
"1501","pancreas   swollen"
"1502","heel  hot"
"1503","pins and needles"
"1504","truble remembering"
"1505","hand feels like it's not mine"
"1506","muscle aches,"
"1507","balance problems"
"1508","nonspecific weakness  dizziness  vertigo"
"1509","slurred speech"
"1510","dysphasia"
"1511","dry throat/hoarseness"
"1512","hoarseness"
"1513","sorgren's syndrome"
"1514","sjorgren syndrome"
"1515","cold toes  feet"
"1516","circulatory problems"
"1517","cold hands"
"1518","alzheimers"
"1519","severe muscle pain  hip joints"
"1520","severe muscle pain  sholder"
"1521","fluish feeling"
"1522","muscle achs"
"1523","low energy"
"1524","waking    night  pain"
"1525","abdominal flu symptoms"
"1526","nonspecific abdominal pain, gi disturbance"
"1527","intermittent temperature elevation"
"1528","severe joint aches"
"1529","chronic diarrhea"
"1530","always feeling tired"
"1531","cramping  back"
"1532","cramping  legs"
"1533","problems concentrating"
"1534","problems sleeping"
"1535","felt like i   flu"
"1536","nonspecific pain, paraesthesia, numbness"
"1537","red spots    body"
"1538","slowed speach"
"1539","slowed speech nonspecific, dysphasia?"
"1540","shufflihg gait"
"1541","abnormal gait"
"1542","unable  get   chairs without help"
"1543","sinus problems"
"1544","nonspecific sinus problems"
"1545","spots   body"
"1546","eyes get blury"
"1547","vision disturbance"
"1548","aphasia"
"1549","brain  sending messages   muscles"
"1550","lost  ability  walk"
"1551"," strength"
"1552","hip hurts"
"1553","damage   muscles"
"1554","painful time lifting   arm"
"1555","mild stroke"
"1556","general weak feeling overall"
"1557"," sense  well   taken  sudden decline"
"1558","involuntary movements"
"1559","muscles aches"
"1560","concentrating"
"1561","difficulty  walk"
"1562","high sleep requirement"
"1563","somnolescence"
"1564","loss  support  calf musells"
"1565","vertigo like attacks"
"1566","loss   sex drive"
"1567","leg support weak"
"1568","mussel weakness"
"1569","increase in sleep requirement"
"1570","energy loss"
"1571","loss of calf support in legs"
"1572","vertigo like episodes"
"1573","vertigo like symptons"
"1574","diminished mental acuity"
"1575","confusion"
"1576","  legs pain"
"1577","  legs weakness"
"1578","cramped"
"1579","blood work showed mildly higher levels"
"1580","muscle problems"
"1581","elevated cpk levels"
"1582","nonspecific paraesthesia, pain, anaesthesia"
"1583","weight loss"
"1584","dysgeusia"
"1585","change  personality"
"1586","suicidal depression"
"1587","sore joints"
"1588","deppression"
"1589","indegestion"
"1590","stuffy nose"
"1591","plugged ears"
"1592",",lack  balance  cooridination"
"1593","kidney stone"
"1594","bronchitis"
"1595","cough"
"1596","abdominal hematoma"
"1597","bleeding   abdomen  coughing  rupturing  blood vessel"
"1598","decreased immune system"
"1599","elevated wbc"
"1600","trouble swallowing"
"1601","hoarse voice"
"1602","decreased sense  taste"
"1603","decreased sense  smell"
"1604","irregular periods"
"1605","abnormal uterine bleeding"
"1606","decreased progesterone production"
"1607","tooth decay"
"1608","constant vibrating  left leg"
"1609","increase  infections"
"1610","auto immune diseases"
"1611","trouble walking"
"1612","increased bleeding"
"1613","eyesight  changed"
"1614","blurry eyesight"
"1615","visual disturbance"
"1616","burning feet"
"1617","painful heels"
"1618","lack  motivation"
"1619","incipient dementia"
"1620","cognitive disfunction"
"1621","cognitive dysfunction"
"1622","nonspecific pain, paraesthesia, anaesthesia"
"1623","difficulty  speech"
"1624","difficulty walking"
"1625","tingling  feet"
"1626","pain muscle"
"1627","tingling  hands"
"1628","legs tingling "
"1629","arms tingling "
"1630","contact pain  weight presses  things"
"1631"," lift  arms"
"1632","pain  every tendon   body"
"1633","achilles tendon pain "
"1634","  back   head pain  every tendon"
"1635","coenzymeq10"
"1636","aching  knees"
"1637","aching  hips"
"1638","aching  toes"
"1639","aching   fingers"
"1640"," tired"
"1641","pain   left hip"
"1642","loss  short term memory"
"1643","muscle knots "
"1644","vagueness"
"1645","vagues"
"1646","severn calf cramps"
"1647","liptior"
"1648","right knee swelled"
"1649","bearly walk"
"1650","severn leg cramps"
"1651","muscle enemze"
"1652","jaw pains"
"1653","neck pains"
"1654","low back pains"
"1655","hip pains"
"1656","vytorin"
"1657","tennis elbow type pain"
"1658","hypotension"
"1659","fainting spells"
"1660","tighening   chest"
"1661","tingling  arms"
"1662","mild depression"
"1663","pain/cramps    legs"
"1664","tightness"
"1665","exercise intolerance"
"1666","nonspecific ?weakness, ?dyspnoea,"
"1667","nonspecific ?pain, ?paraesthesia, ?anaesthesia"
"1668","unable  sit"
"1669","unable  get   bed"
"1670","blood  urine"
"1671","haematuria"
"1672","chest muscle soreness"
"1673","spazms"
"1674","pain  arm"
"1675","  lift arm"
"1676","omega 3"
"1677","pravochol"
"1678","flu bug"
"1679","provachol"
"1680","flu like synptoms"
"1681","numbness   shoulder"
"1682","diarhhea"
"1683","server pain"
"1684","walking   cane"
"1685","horrible muscle pains"
"1686","horrible back spasms"
"1687","spasms  leg muscles"
"1688"," hardly walk  sit"
"1689","terrible short term memory problems"
"1690","weak  wobbly unbalanced"
"1691","walked like  90 year old"
"1692"," sure footed  i walked"
"1693","overall weak feeling"
"1694","muscle function irregularities"
"1695","tightness  throat  occasional choking problem"
"1696","lightheaded foggy brain (like    stupor)"
"1697","loss  endurance"
"1698","heavy legs  arms"
"1699","eye muscle spasms"
"1700","lousy sleeping  night"
"1701","terrible concentration"
"1702","bad dreams nightly"
"1703","always exhausted"
"1704","hip joint pain"
"1705","muscular aches"
"1706","swallowing problems"
"1707","hard  get   bed   morning"
"1708","constant muscle tension  legs"
"1709","inflexibility"
"1710","sadness"
"1711","loss  muscle mass  arms"
"1712","loss  muscle mass  chest"
"1713","simvastatin"
"1714","loss  support   muscels  particular calf  leg"
"1715","excruciatig pain"
"1716","loss  hair"
"1717","loss  sex drive"
"1718","partial tempoary loss  sight one eye"
"1719","hardest  legs"
"1720","muscel pain"
"1721","cq10"
"1722","saw palmetto"
"1723","fish oils"
"1724","feeling extremely vulnerable"
"1725","extreme muscle problems"
"1726","nonspecific ?weakness ?pain"
"1727","liver  functioning   50%"
"1728","cholestrol went  dramatically"
"1729","extreme pain  neck"
"1730","extreme pain   shoulders"
"1731","pain  worse"
"1732","unable  reach  top   head   hands"
"1733","restricted movement"
"1734","discomfort   left hand"
"1735","fingers  swollen"
"1736","movement  restricted"
"1737","hands  warm  touch"
"1738","movement  restricted    impossible  make  fist"
"1739","ibruprofen gel"
"1740","ibruprofen"
"1741","muscle pain in left arm"
"1742","weak feeling"
"1743","severe muscle pain  calves"
"1744","unable  run"
"1745","felt  unwell"
"1746","hdl dropped"
"1747","every 3 hrs drinking water"
"1748","rhabdomyolosis"
"1749","severe muscle pain"
"1750"," hardly move"
"1751","persistent dry skin spots"
"1752","leg pains"
"1753","nonspecific ?eructation ?flatus ?bloating"
"1754","nonspecific ? sedation, ? dizziness ?"
"1755","severe pains"
"1756","severe cramps"
"1757","weak muscles"
"1758","poor balance"
"1759","nonspecific ?weakness, ?dizziness, ?poor proprioception"
"1760","very very tired"
"1761","difficult    get   bed"
"1762","stiffnes  pain   right hip"
"1763","difficult    walk"
"1764","legs  restless"
"1765","sleeplesness"
"1766","  able  get   bed   morning"
"1767","  able  walk"
"1768","difficult  walk     steps"
"1769"," barely walk"
"1770","unbearable muscle pain"
"1771","hair falling out"
"1772","darvacet"
"1773","extreme headaches"
"1774","severe neck pain"
"1775","sore muscles"
"1776","fevers"
"1777","chills"
"1778","swelling  right knee"
"1779","wanted  sleep    time"
"1780","sore throat"
"1781","severe achilles tendonitis"
"1782","burning sensations  calves"
"1783","dizzyness"
"1784","loss  coherent thought"
"1785","varying blood pressure"
"1786","syptoms similar  tia"
"1787","significant weight gain"
"1788","sleepless nights"
"1789","diarria"
"1790","muscle pain   leg"
"1791","muscle pain calf area"
"1792","muscle pain lower back"
"1793","arm pain"
"1794","tingling   hands"
"1795","edema  ankles"
"1796","edema  hands"
"1797","arthritic type pain   joints"
"1798"," barely walk  stairs"
"1799"," barely get   bed   morning"
"1800","lopid"
"1801","constantly weak"
"1802","short  breath"
"1803","damage  heart"
"1804","increased blood pressure"
"1805","heart throbbing out of my chest"
"1806","tingling in muscles of upper torso"
"1807","scapula and shoulders felt like there was something vibrating under my skin"
"1808","feeling of doom"
"1809","heart attach"
"1810","chestpain"
"1811","arrythmia"
"1812","malaisse"
"1813","phlebitis"
"1814","veins hurt"
"1815","vein   one leg  bulging"
"1816","severe leg cramps"
"1817","numbness  ankles  toes"
"1818","chest tightness"
"1819","muscle aching"
"1820","weakness   arms"
"1821","cognitive ability"
"1822","recall  slower"
"1823","  able  process thoughts"
"1824","  smart  i use  "
"1825","severe pain  hips"
"1826","severe pain  legs"
"1827","severe pain  feet"
"1828","severe pain  back"
"1829","unable  walk  stand"
"1830","muscle weakness  plantar muscle"
"1831","muscle weakness  back"
"1832","muscle weakness  ankle"
"1833","cripple"
"1834","spaced- feeling"
"1835","lack  concentration"
"1836","zoloft"
"1837","major depression"
"1838","numbness  arms"
"1839","constant headaches"
"1840","impending doom"
"1841","short-term memory loss"
"1842","feel like i got hit   truck"
"1843","calcification"
"1844","stiff upon waking"
"1845","hands hurt"
"1846"," make  fist"
"1847","move like someone much older"
"1848","fosamax 35"
"1849","balance"
"1850","higher blood sugars"
"1851","carpal tunnal"
"1852","kidney problems"
"1853","gemfibrosil"
"1854","kidney readings became bad"
"1855","type ii diabetes became uncontrolled"
"1856","insulin"
"1857","pain in my hands"
"1858","could not walk without falling"
"1859","debilitated"
"1860","kidney readings became so high"
"1861","sinus colds"
"1862","pressure pain"
"1863","cant walk"
"1864","feeling like i    heart attack"
"1865","heart attact"
"1866","muscels hurts"
"1867","week"
"1868","general degradation"
"1869","rhuematoid arthritis"
"1870","relefen"
"1871","enbrel injections"
"1872","aching pain   arms"
"1873","  sleep well"
"1874","lost   strength   muscles"
"1875"," hardly lift  glass"
"1876","weak   arms  hands"
"1877","elevated cpk"
"1878","cpk elevated"
"1879","super dry skin"
"1880","lyme disease"
"1881","hyprochondria"
"1882","hurt"
"1883","severe knee pain"
"1884"," fatigued"
"1885","sleepy"
"1886","food cravings"
"1887","sporadic lower abdominal cramping"
"1888","thigh soreness"
"1889","good cholesterol  whacked, lowered"
"1890","significant limp"
"1891","heart-attack"
"1892","ankles seized "
"1893","feet seized "
"1894","wrists seized "
"1895","knees seized "
"1896","shuffle  i walk"
"1897","hands  nowhere near  strong    "
"1898","senistivity  scalp"
"1899","senistivity   palms  soles   feet"
"1900","sensitivity"
"1901","feet felt like led"
"1902","ankles started aching"
"1903","-streesed muscles"
"1904","dibilitating problem     arms"
"1905","lipior"
"1906","live damage"
"1907","darkness  urine"
"1908","can hardly walk"
"1909","stiffness  leg joint"
"1910","stiffness   feet"
"1911","numbness   hands"
"1912","lt wrist joint"
"1913","dislocating"
"1914","high pck level"
"1915","high liver enzyme"
"1916","flared  tendenitis"
"1917","very sore  achy joints"
"1918","mild headache"
"1919","foggy"
"1920","leg buzzing sensation"
"1921","muscles quivering"
"1922","restless"
"1923","hard  sleep"
"1924","severe urinary tract infections"
"1925","severe infections"
"1926","hemorrhoids"
"1927","urine corrosive"
"1928","muscle problems legs"
"1929","tremendous neck pain"
"1930","severe back pains"
"1931","short term memory issues"
"1932","weakness  arms"
"1933","permanent muscle damage"
"1934","muscle   angles hurt"
"1935","joints   angles hurt"
"1936","artritic"
"1937","codine"
"1938","arthrites"
"1939","very painful feet"
"1940","lower legs hurt"
"1941"," painful muscle aches back"
"1942"," painful muscle aches   neck"
"1943","pain   knee"
"1944","pain  leg muscles"
"1945","brain tumor"
"1946","tightening  neck muscles"
"1947","lipitor 40mg"
"1948","terrible abdominal pain"
"1949","extreme muscle pains"
"1950","joints aching"
"1951","pravastatin"
"1952","severe pain  right heel"
"1953","muscle cramping  leg"
"1954","inablity  walk"
"1955","un-balanced-type feeling"
"1956","frequent bowel movements"
"1957","arthritic knees"
"1958","hands tingling"
"1959","arms  always falling asleep"
"1960","lescol"
"1961","memory confusion"
"1962","loss  ne"
"1963","muscular aches  pains"
"1964","joint discomfort"
"1965","heaviness"
"1966","upper abdominal discomfort"
"1967","severe polyathralgia  leg joints"
"1968","severe polyathralgia  ankles"
"1969","lipitors"
"1970","heart desease"
"1971","extreme bloating"
"1972","increase  heart rate"
"1973","sleep    sound"
"1974","pain neck"
"1975","b complex"
"1976","gasx"
"1977","stomach upsets"
"1978","pain   sole   feet"
"1979","dificult  stand  walk   long"
"1980","hands tender"
"1981","hands tingle"
"1982","forgetful"
"1983","lack libido"
"1984","feel hot"
"1985","sensitive  sunlight"
"1986","head hurting"
"1987"," confused"
"1988","exhausted"
"1989","falling asleep   time"
"1990","legs always feeling like lead"
"1991","constant pain shoulders"
"1992","constant pain knees"
"1993","whole body hurts"
"1994","parkinsons"
"1995","aching   entire body"
"1996","severe depression"
"1997","unable to walk"
"1998","neck muscel problems"
"1999","extreme zombie like state"
"2000","partial loss of sight"
"2001","sex drive gone"
"2002","loss of hair"
"2003","c q10"
"2004","lip"
"2005","intense  constant pain  arms"
"2006","intense  constant pain  legs"
"2007","legs painful   touch"
"2008","loss  sexual desire"
"2009","lecithin granules"
"2010","muscle aches  pain"
"2011","joint pain  arthritic"
"2012","severe arthritis symptoms  hip joints"
"2013","severe arthritis symptoms  knees"
"2014"," weight"
"2015","lexapro"
"2016","muscles ached"
"2017","extreme exhaustion"
"2018","hypochondriac"
"2019","bone deep aches"
"2020","joints  bark  "
"2021","intense dizziness"
"2022","intense chills  shivers"
"2023","lassitude"
"2024","calf pains"
"2025","hip  bothering"
"2026","walk  little funny"
"2027","hip hurt"
"2028","hurt exploding arm  neck"
"2029","chronic problem"
"2030","socked   arm"
"2031","productive cough"
"2032","aching muscles"
"2033","aching joints"
"2034","wind"
"2035","blockage   lad"
"2036","bell's palsy"
"2037","bell's"
"2038","liver problems"
"2039","night muscle cramps"
"2040","deafness"
"2041","chronic rhinitus"
"2042","upper respiratory infections"
"2043","ability  concentrate"
"2044","shoulder muscle pain"
"2045","neck muscle pain"
"2046","tender joints"
"2047","wrist pain"
"2048","fogginess"
"2049","pravichol"
"2050","gum ulcerations"
"2051","pain  legs"
"2052","bruising"
"2053","tingling extremities"
"2054","mild muscle pain"
"2055","mild nausea"
"2056","muscle pain in neck"
"2057","muscle pain in hip"
"2058","muscle pain in shoulders"
"2059","severe muscle spasms   legs"
"2060","difficulty reaching seat"
"2061","totalip"
"2062","hypothyroidism"
"2063","tingling  arm  hand"
"2064","sore shoulder"
"2065","poor sleep"
"2066","severe fatigue"
"2067","severe myalgia"
"2068","muscle inflammation"
"2069","connective tissue pain"
"2070","time-release naicin"
"2071","severe legs problems"
"2072","cramps  hands"
"2073","cramps   feet"
"2074","pain  chest"
"2075","tingling   scalp"
"2076","visual deficits"
"2077","double vision"
"2078","blurriness"
"2079","sense  eye drooping"
"2080","tumor"
"2081","weird dreams"
"2082","elevated bun"
"2083","elevated creatinine"
"2084","elevated urine albumin"
"2085","elevated crp"
"2086","increased blood glucose"
"2087","memory lapses"
"2088","belly weight gain"
"2089","losing muscle"
"2090","heart damage"
"2091","muscle damage"
"2092","odd blood sugar pattern"
"2093","sciatic pain"
"2094","loss  feeling  toes"
"2095","lack  appetite"
"2096"," enthusaism"
"2097","lipoic acid"
"2098","vit c"
"2099","swollen tongue"
"2100","skin itchiness"
"2101","inergy"
"2102","constant hunger"
"2103","severe lower back pain"
"2104","pain  leg"
"2105","hard  walk"
"2106","tricor 145 mg"
"2107","potassium"
"2108","abnormal dreams"
"2109","knuckles   swollen"
"2110","twitching around  mouth"
"2111","heels hurt"
"2112","coq 10"
"2113","thinning hair"
"2114","lipid problem"
"2115","blockages"
"2116","hair thinning"
"2117","moody"
"2118","pain  ankles"
"2119","severe pain  one ankle"
"2120","limped"
"2121","ankle hurt"
"2122","  walk   stairs"
"2123","severe muscle cramps"
"2124","charlie horse  feet"
"2125","charlie horse   calves"
"2126","severe hip & feet pain"
"2127","tendonitis  elbows"
"2128","tendonitis   shoulders"
"2129","weak legs"
"2130","slurred speach"
"2131","loss  balance"
"2132","'nt talk"
"2133","'nt concentrate"
"2134","'nt walk"
"2135","sore legs"
"2136","barely remember anything   happened recently"
"2137","numbness   legs"
"2138","joints poping  cracking"
"2139","rapid weight loss"
"2140","partial paralysis"
"2141","pain   left leg"
"2142","hypercholesterolemia"
"2143","cholesterol went "
"2144","slight swelling  cheeks"
"2145","facial swelling"
"2146","crying   time"
"2147"," sleeping"
"2148","reliving  past terrible events"
"2149","psyhcological tailspin"
"2150","bipolar disorder"
"2151","aspirin"
"2152","muscle crammps"
"2153","intense chest pains"
"2154","neuropathy  left foot"
"2155","mental malaise"
"2156","  triceps arm fatigue"
"2157","blood sugar"
"2158","severe muscle weakness"
"2159","lost 30 pounds"
"2160","little pain"
"2161"," lift  arms  legs"
"2162","muscles deteriorated"
"2163","polymyositis"
"2164","will never get back  full use   arms  legs"
"2165","muscle aches  pains"
"2166","stiffness  limbs"
"2167"," move  legs"
"2168","plantar fasciitis   feet"
"2169"," get   stairs"
"2170","cortison shots"
"2171","vitamin e"
"2172","very shaky"
"2173","panic attack"
"2174","changed  personality,  happy   grouch"
"2175","stiff upper leg"
"2176","stiff quad area"
"2177","chest pain left side"
"2178","sore muscle"
"2179","flu-like syptoms"
"2180","loss  productivity"
"2181","feeling tired  lot"
"2182","feeling tired   time"
"2183","lipitor 20mg"
"2184","sore weak muscles"
"2185","less patience"
"2186","loose temper faster"
"2187","neck swollen"
"2188"," sore neck"
"2189","loss  libido"
"2190","lost  sexual desires  thoughts"
"2191","toes acking"
"2192","moodiness"
"2193","zorcor"
"2194","mevacore"
"2195","ezetimbe"
"2196","spasm"
"2197","suicidal"
"2198","panic attacks"
"2199","muscular pain"
"2200","arrhythmia"
"2201","lipitor 20 mg"
"2202","pain    body"
"2203","overall misery"
"2204","attack  restless leg syndrome"
"2205","legs twitching"
"2206","acute muscle pain"
"2207","muscle weariness  legs"
"2208","soreness  shoulder"
"2209","liver readings went "
"2210","burning  tongue"
"2211","dry throat  mouth"
"2212","fuzzy vision"
"2213","tintinitus"
"2214"," sleep  night"
"2215"," weak"
"2216","shaky"
"2217","decreased eye sight"
"2218","peripheral neuropathy  arms"
"2219","peripheral neuropathy  feet  legs"
"2220","peripheral neuropathy   hands"
"2221","damaged  liver"
"2222","muscular soreness  arms  shoulders"
"2223","rhabdomyolysis"
"2224","cpk spike"
"2225","extreme pain  thigh muscles"
"2226","muscles stiff"
"2227","muscles slightly sore"
"2228","memory weakened"
"2229","lack  sexual drive"
"2230","muscle inflamation"
"2231","tired lower arms  legs muscel"
"2232","pale/yellow complexion"
"2233","muscel fatigue"
"2234","heat stress"
"2235","loss  concentration"
"2236","fell asleep  driving"
"2237","cold sweats"
"2238","sever heat intolerance"
"2239","muscle pain   biceps"
"2240","vision close   blurry"
"2241","extreme moodiness"
"2242","irritibility"
"2243","anger"
"2244","sex drive became non-existant"
"2245","pain  outer sides  thighs"
"2246","severe pain   limbs"
"2247","swelling  knee"
"2248","swelling  one ankle"
"2249","soreness  shoulders"
"2250","lowering  energy"
"2251","calves tire  burn"
"2252","leg  foot cramps"
"2253","tired  burning muscles"
"2254","breathlessness"
"2255","blurring vision"
"2256","lipitor 40"
"2257","numbness  toes"
"2258","severe back pain"
"2259","absentminded"
"2260","extreme pain     arm"
"2261"," lymph nodes"
"2262","steriod shots"
"2263","intense calf pain"
"2264","swollen feet & ankles"
"2265","severe calf pain"
"2266","cramping   stomach"
"2267","bad muscle pains"
"2268","heart problems"
"2269","cancer"
"2270","cramps  legs"
"2271","gas pains  back"
"2272","gas pains  abdomen"
"2273","gas pains back"
"2274","gas pains around  abdomen"
"2275","cramps  calves"
"2276","intense heart pain"
"2277","lack  sleep"
"2278","severe chest pain"
"2279","loss  will   anything"
"2280","emotional"
"2281","want  give "
"2282","leg calf cramps"
"2283","eyes spaced  feeling"
"2284","eyes feeling  pressure"
"2285","wild mood swings"
"2286","feeling  impending doom"
"2287","sinus congestion"
"2288","diffuculty thinking"
"2289","dosent want  get   bed"
"2290","no amount  sleep makes  feel rested"
"2291","legs  killing "
"2292","mind  starting  deteriorate"
"2293","couldnt remember anything"
"2294","blood sugar elevated"
