"","slang.V1","exp.V1"
"728","FF&PN","Fresh Fields and Pastures New"
"729","FFA","Free For All"
"730","FFS","For F*** Sake"
"731","FFT","Food For Thought"
"732","FGDAI","Fuhgedaboudit -or- Forget About It"
"733","FGF","Fine Guy Friday"
"734","FHO","Friends Hanging Out"
"735","FIF","F*** I'm Funny"
"736","FIFO","First In, First Out"
"737","FIGJAM","F*** I'm Good Just Ask Me"
"738","FIGMO","F*** It Got My Orders"
"739","FIGS","French, Italian, German, Spanish"
"740","FIIK","F*** If I Know"
"741","FIL","Father-In-Law"
"742","FILF","Father I'd Like to F***"
"743","FILO","First In Last Out"
"744","FILTH","Failed In London, Try Hong Kong"
"745","FINE","F***ed up, Insecure, Neurotic, Emotional -or- F*** It Never Ends"
"746","finsta","fake Instagram"
"747","FIRE","Financial Independence, Retire Early"
"748","FISH","First in, Still Here"
"749","FITB","Fill In The Blanks"
"750","FITYMI","Fake It Til You Make It"
"751","FKM","F*** 'Em"
"752","FLA","Four Letter Acronym"
"753","FLOTUS","First Lady Of The United States"
"754","FLUID","F***ing Look it Up, I Did"
"755","FML","F*** My Life"
"756","FMLTWIA","F*** Me Like The Whore I Am"
"757","FMOT","Follow Me On Twitter"
"758","FMTYEWTK","Far More Than You Ever Wanted To Know"
"759","FMUTA","F*** Me Up The Ass"
"760","FNG","F***ing New Guy"
"761","FO","F*** Off"
"762","FOAD","F*** Off And Die"
"763","FOAF","Friend Of A Friend"
"764","FOAG","F*** Off And Google"
"765","fob","frequency operated button a.k.a. key fob"
"766","FOC","Free of Charge"
"767","FOE","Family Over Everything"
"768","FOFL","Falling on Floor Laughing"
"769","FOGC","Fear Of Getting Caught"
"770","FOH","F*** Outta Here"
"771","FOL","Fond of Leather"
"772","FOLO","Fear Of Losing Out -or- Fake pOLO shirt -or- Families Of Loved Ones"
"773","FOMC","Fell Off My Chair"
"774","FOMCL","Falling Off My Chair Laughing"
"775","FOMO","Fear Of Missing Out"
"776","FOMOF","Fear Of Missing Out on Football"
"777","FOOT","F*** Off Over There -or- go away"
"778","FORD","Found On Road Dead, Fixed Or Repaired Daily, F***ed Over Rebuilt Dodge"
"779","FOS","Full Of Sh**"
"780","FOUO","For Official Use Only"
"781","FPO","For Placement Only"
"782","FRED","F***ing Ridiculous Electronic Device"
"783","FROG","Fully Rely On God"
"784","FRZN","it means freezing"
"785","FS","For Sale"
"786","FSBO","For Sale By Owner"
"787","FSR","For Some Reason"
"788","FSTOW","Feeling Some Type Of Way"
"789","FSU","F*** Sh** Up"
"790","FTAD","Facebook Twitter Addict Disorder"
"791","FTASB","Faster Than A Speeding Bullet"
"792","FTBL","Football"
"793","FTBOMH","From The Bottom Of My Heart"
"794","FTC","Failure To Communicate -or- First To Comment"
"795","FTE","Full Time Employee"
"796","FTF","F*** That's Funny, Face To Face, First To Find"
"797","FTFOI","For The Fun Of It -or- For The F*** Of It"
"798","FTL","Faster Than Light"
"799","FTLOG","For The Love Of God"
"800","FTN","F*** That Noise"
"801","FTR","For The Record"
"802","FTRF","F*** That's Really Funny"
"803","FTTB","For The Time Being"
"804","FTW","For The Win -or- F*** The World"
"805","FU2","F*** You Too"
"806","FUB","Fat Ugly Bastard"
"807","FUBAR","F***ed Up Beyond All Recognition (or Repair)"
"808","FUBARBUNDY","F***ked Up Beyond All Recovery But Unfortunately Not Dead Yet"
"809","FUBB","F***ed Up Beyond Belief"
"810","FUBYOYO","F*** You Buddy You're On Your Own"
"811","FUD","Fear, Uncertainty, and Disinformation"
"812","FUJIMO","F*** You Jack I'm Movin' On"
"813","FUM","F***ed Up Mess"
"814","FUMF","Fat Ugly Mother F***er"
"815","FUPA","Fat Upper Pussy Area"
"816","FURTB","Filled Up and Ready To Burst"
"817","FUW","F*** You World -or- F*** You Weirdo"
"818","FWB","Friends With Benefits"
"819","FWD","Forward"
"820","FWIW","For What It's Worth -or- Forgot Where I Was"
"821","FWOT","F***ing Waste Of Time"
"822","FYA","For Your Amusement"
"823","FYC","For Your Consideration"
"824","FYE","For Your Edification"
"825","FYEO","For Your Eyes Only"
"826","FYF","From Your Friend"
"827","FYI","For Your Information"
"828","FYIFV","F*** You I'm Fully Vested"
"829","FYLTGE","From Your Lips To Gods Ears"
"830","FYM","For Your Misinformation"
"831","FYSBIGTBABN","Fasten Your Seat Belts It's Going To Be A Bumpy Night"
"832","G","Guess -or- Grin -or- Giggle -or- Goodbye"
"833","G1","Good One"
"834","G2G","Got to Go"
"835","G2GLYS","Got To Go Love Ya So"
"836","G4I","Go For It"
"837","G4N","Good For Nothing"
"838","G9","Genius"
"839","g98t","good night"
"840","GA","Go Ahead -or- Good Afternoon"
"841","GAB","Getting A Beer"
"842","GAFA","Google, Apple, Facebook, Amazon"
"843","GAFL","Get A F***ing Life"
"844","GAFYK","Get Away From Your Keyboard"
"845","GAGFI","Gives A Gay First Impression"
"846","GAHOY","Get A Hold Of Yourself"
"847","GAL","Get A Life"
"848","GALGAL","Give A Little Get A Little"
"849","GALHER","Get A Load of Her"
"850","GALHIM","Get A Load of Him"
"851","GANB","Getting Another Beer"
"852","GAP","Got A Pic? -or- Gay Ass People"
"853","GAS","Got A Second?"
"854","gawd","God"
"855","GB","Good Bridge"
"856","GBG","Great Big Grin"
"857","GBH","Great Big Hug"
"858","GBP","Gay Boy Problems"
"859","GBTW","Get Back To Work"
"860","GC","Good Crib"
"861","GD","God Damn -or- Gosh Darn"
"862","GD&R","Grinning, Ducking and Running"
"863","GD&RF","Grinning, Ducking and Running Fast"
"864","GDI","God Damn It -or- God Damn Independent"
"865","GDPR","General Data Protection Regulation"
"866","GDW","Grin, Duck and Wave"
"867","GF","Girlfriend"
"868","GFE","Good Faith Estimate -or- GirlFriend Experience"
"869","GFF","Go F***ing Figure"
"870","GFI","Go For It"
"871","GFN","Gone For Now"
"872","GFON","Good For One Night"
"873","GFR","Grim File Reaper"
"874","GFTD","Gone For The Day"
"875","GFTU","Good For The Universe"
"876","GFY","Good For You -or- Go F*** Yourself -or- Go Find Yourself"
"877","GFYMF","Go F*** Yourself Mother F***er"
"878","GG","Good Game -or- Gotta Go -or- Giggling"
"879","GGA","Good Game All"
"880","GGGG","God, God, God, God"
"881","GGN","Gotta Go Now"
"882","GGOH","Gotta Get Out of Here"
"883","GGP","Gotta Go Pee"
"884","GGPBL","Gotta Go, Pacemaker Battery Low"
"885","GGY","Go Google Yourself"
"886","GHM","God Help Me"
"887","GI","Google It"
"888","GIC","Gift In Crib"
"889","GIDK","Gee I Don't Know"
"890","GIGATT","God Is Good All The Time"
"891","GIGO","Garbage In, Garbage Out"
"892","GILF","Grandmother I'd Like to F***"
"893","GIST","Great Ideas for Starting Things"
"894","GIT","Got It, Thanks"
"895","GIWIST","Gee, I Wish I'd Said That"
"896","GJ","Good Job"
"897","GJP","Good Job Partner"
"898","GL","Good Luck -or- Get Lost"
"899","GLA","Good Luck All"
"900","GLAWD","Good Luck And Well Done"
"901","GLB","Good Looking Boy"
"902","GLBT","Gay, Lesbian, Bisexual, Transgender"
"903","GLG","Good Looking Girl"
"904","GLGH","Good Luck and Good Hunting"
"905","GLWS","Good Luck With Sale"
"906","GLYASDI","God Loves You And So Do I"
"907","GM","Good Morning -or- Good Move"
"908","GMAB","Give Me A Break"
"909","GMAFB","Give Me A F***ing Break"
"910","GMH","Gives Me Hope"
"911","GMILY","Good Morning I Love You"
"912","GMTA","Great Minds Think Alike"
"913","GMTA ASDO","Great Minds Think Alike, And So Do Ours"
"914","GMTFT","Great Minds Think For Themselves"
"915","GN","Good Night"
"916","gn8","good night"
"917","GNBLFY","Got Nothing But Love For You"
"918","GNOC","Get Naked On Cam"
"919","GNS","GangNam Style"
"920","GNSD","Good Night Sweet Dreams"
"921","GOAT","Greatest Of All Time"
"922","GOB","Game On B*tcheeez"
"923","GOI","Get Over It"
"924","GOK","God Only Knows"
"925","GOL","Giggling Out Loud"
"926","GOLF","Grateful Of Lovely Family -or- Friends"
"927","GOMB","Get Off My Back"
"928","GOOD job","Get Out Of Debt job"
"929","GORK","God Only Really Knows"
"930","GOS","Gay Or Straight"
"931","GOSPEL","God's Only Son Provides Eternal Life"
"932","GOTDPWYD","Get Off The Damn Phone While You're Driving"
"933","GOTP","Get/Getting On The Piss"
"934","GOWI","Get On With It"
"935","GOYHH","Get Off Your High Horse"
"936","GPOY","Gratuitous Picture Of Yourself"
"937","GQMF","Gentleman's Quarterly Mother F***er"
"938","GR&D","Grinning Running & Ducking"
"939","GR2BR","Good Riddance To Bad Rubbish"
"940","GR8","Great"
"941","GRACE","God's Riches At Christ's Expense"
"942","GRAS","Generally Recognized As Safe"
"943","gratz","Congratulations"
"944","GROBR","Good Riddance Of Bad Rubbish"
"945","grrlz","girls, also seen as grrl"
"946","GRRR","Growling"
"947","GRX","Gracias"
"948","GSC","Gimme Some Credit"
"949","GSOAS","Go Sit On A Snake"
"950","GSOH","Good Sense Of Humor"
"951","GSTG","Get Set To Go"
"952","GSW","Gun Shot Wound"
"953","GSYJDWURMNKH","Good Seeing You, Just Don't Wear Your Monkey Hat"
"954","GT","Good Try"
"955","GTASC","Going To A Strip Club"
"956","GTFO","Get The F*** Out"
"957","GTFOOH","Get The F*** Out Of Here"
"958","GTG","Got To Go"
"959","GTGB","Got To Go Bye"
"960","GTGP","Got To Go Pee"
"961","GTH","Go To Hell"
"962","GTK","Good To Know"
"963","GTL","Gym, Tan, Laundry"
"964","GTM","Giggle To Myself"
"965","GTP","Game Transfer Phenomenon"
"966","GTRM","Going To Read Mail"
"967","GTS","Google That Sh**"
"968","GTSY","Glad To See You"
"969","GUD","Geographically UnDesirable"
"970","guvment","government, also seen as guvmint, gumint"
"971","GWI","Get With It"
"972","GWOT","Glorified Waste Of Time"
"973","GWS","Get Well Soon"
"974","GYHOOYA","Get Your Head Out Of Your Ass"
"975","GYLABTW","Get Your Lazy Ass Back To Work"
"976","GYPO","Get Your Pants Off"
"977","H&K","Hugs and Kisses"
"978","h/o","Hold On"
"979","h/p","Hold Please"
"980","H2CUS","Hope To See You Soon"
"981","H2S","Here To Stay"
"982","H4U","Hot For You"
"983","H4XX0R","Hacker -or- To Be Hacked"
"984","H9","Husband in room"
"985","HADVD","Have Advised"
"986","hag1","have a good one"
"987","HAGD","Have a Great Day"
"988","HAGN","Have A Good Night"
"989","HAGO","Have A Good One"
"990","hahaha","it means laughing"
"991","HAK","Hugs And Kisses"
"992","HAND","Have a Nice Day"
"993","HAR","Hit And Run"
"994","HAWTLW","Hello And Welcome To Last Week"
"995","HAY","How Are You?"
"996","HB","Hurry Back"
"997","HBASTD","Hitting Bottom And Starting To Dig"
"998","HBB","Hip Beyond Belief"
"999","HBIB","Hot But Inappropriate Boy"
"1000","HBIC","Head Bitch In Charge"
"1001","HBO","Helping a Brother Out"
"1002","HBTU","Happy Birthday To You"
"1003","HBU","How Bout You?"
"1004","HCC","Holy Computer Crap"
"1005","HD","Hold"
"1006","HDGFS","How Does Get F***ed Sound?"
"1007","HDM","Honest Direct Message"
"1008","HEA","Happily Ever After"
"1009","HENRY","High Earner, Not Rich Yet"
"1010","HF","Hello Friend -or- Have Fun -or- Have Faith"
"1011","HHFO","Hell Has Frozen Over"
"1012","HHH","Hip Hip Hooray"
"1013","HHIS","Hanging Head In Shame"
"1014","HHO1/2K","Ha Ha, Only Half Kidding"
"1015","HHOJ","Ha Ha, Only Joking"
"1016","HHOK","Ha Ha, Only Kidding"
"1017","HHOS","Ha Ha, Only Serious"
"1018","HHTYAY","Happy Holidays To You And Yours"
"1019","Hi 5","High Five"
"1020","HIG","How's It Going?"
"1021","HIH","Hope It Helps"
"1022","HIOOC","Help, I'm Out Of Coffee"
"1023","HIPPO","Higher Income People's Personal Opinions"
"1024","HITAKS","Hang In There And Keep Smiling"
"1025","HMFIC","Head MOFO In Charge"
"1026","HMFWICC","Head MoFo What In Complete Charge"
"1027","HML","Hit My Line"
"1028","HMOT","Hit Me On Twitter"
"1029","HMU","Hit Me Up -or- Hook Me Up"
"1030","HNTI","How Nice That/This Is"
"1031","HNTW","How Nice That Was"
"1032","HNY","Happy New Year"
"1033","HO","Hang On -or- Hold On -or- Head Office"
"1034","HOHA","HOllywood HAcker"
"1035","HOIC","Hold On, I'm Coming"
"1036","hologram","a.k.a. virtual demonstration, holographic technology"
"1037","HOT PIC","Hot Picture, as in sexy or naked"
"1038","howru","How Are You"
"1039","HOYEW","Hanging On Your Every Word"
"1040","HP","Higher Power"
"1041","HPOA","Hot Piece Of Ass"
"1042","HPPO","Highest Paid Person in Office"
"1043","HR","Human Resources -or- Human Reaction"
"1044","HRCN","it means hurricane"
"1045","HSIAB","Haven't Seen It All Before"
"1046","HSIK","How Should I Know"
"1047","HT","Hi There -or- Hat Tip -or- Heard Through -or- Hashtag on Twitter"
"1048","HTB","Hang The Bastards"
"1049","HTH","Hope This (or That) Helps"
"1050","HTNOTH","Hit The Nail On The Head"
"1051","HU","Hook Up"
"1052","HUA","Heads Up Ace -or- Head Up Ass -or- Heard, Understood, Acknowledged"
"1053","HUD","How You Doing?"
"1054","Huggle","it means to Hug and snuggle"
"1055","HUGZ","Hugs"
"1056","huh","what"
"1057","HUYA","Head Up Your Ass"
"1058","HV","Have"
"1059","Hwevr","However"
"1060","HWGA","Here We Go Again"
"1061","hx","it means history -or- hospital"
"1062","I 1-D-R","I Wonder"
"1063","I <3 I","I Love It"
"1064","I <3 U","I Love You"
"1065","i h8 it","i hate it"
"1066","I&I","Intercourse & Inebriation"
"1067","I-D-L","Ideal"
"1068","IAC","In Any Case -or- I Am Confused -or- If Anyone Cares"
"1069","IAE","In Any Event"
"1070","IAGTKOM","I Ain't Got That Kind Of Money"
"1071","IAITS","It's All In The Subject"
"1072","IANAC","I Am Not A Crook"
"1073","IANADBIPOOTV","I Am Not A Doctor But I Play One On TV"
"1074","IANAE","I Am Not An Expert"
"1075","IANAL","I Am Not A Lawyer"
"1076","IANNNGC","I Am Not Nurturing the Next Generation of Casualties"
"1077","IASAP4U","I Always Say A Prayer For You"
"1078","IAT","I Am Tired"
"1079","IAW","I Agree With -or- In Accordance With"
"1080","IAYM","I Am Your Master"
"1081","IBGYBG","I'll Be Gone, You'll Be Gone"
"1082","IBIWISI","I'll Believe It When I See It"
"1083","IBK","Idiot Behind Keyboard"
"1084","IBRB","I'll Be Right Back"
"1085","IBT","In Between Technology"
"1086","IBTC","Itty Bitty Titty Committee"
"1087","IBTD","I Beg To Differ"
"1088","IBTL","In Before The Lock"
"1089","IC","Independant Contractor -or- In Character -or- I See"
"1090","ICBW","I Could Be Wrong"
"1091","ICBWICBM","It Could Be Worse, It Could Be Me"
"1092","ICCL","I Couldn't Care Less"
"1093","ICIHICPCL","I Can't Imagine How I Could Possibly Care Less"
"1094","ICW","I Can't Wait"
"1095","ICWUM","I See What You Mean"
"1096","ICYC","In Case You're Curious -or- In Case You Care"
"1097","ICYMI","In Case You Missed It"
"1098","ID","IDentification"
"1099","ID10T","Idiot"
"1100","IDBI","I Don't Believe It"
"1101","IDC","I Don't Care"
"1102","IDEK","I Don't Even Know"
"1103","IDEWTK","I Don't Even Want To Know"
"1104","IDGAD","I Don't Give A Damn"
"1105","IDGAF","I Don't Give A F***"
"1106","IDGARA","I Don't Give A Rats Ass"
"1107","IDGHP","I Don't Get Hashtag Phrases"
"1108","IDGI","I Don't Get It -or- I Don't Get Involved"
"1109","IDIFTL","I Did It For The Lulz"
"1110","IDK","I Don't Know"
"1111","IDK, my BFF Jill","I Don't Know, my Best Friend Forever Jill"
"1112","IDKABTT","I Don't Know About That"
"1113","IDKWTD","I Don't Know What To Do"
"1114","IDKY","I Don't Know You"
"1115","IDM","It Doesn't Matter"
"1116","IDNKT","I Did Not Know That"
"1117","IDRK","I Don't Really Know"
"1118","IDST","I Didn't Say That"
"1119","IDTA","I Did That Already"
"1120","IDTBBF","I Deserve To Be Blown First"
"1121","IDTS","I Don't Think So"
"1122","IDWTUB","I Don't Want To Upset You But"
"1123","IEF","It's Esther's Fault"
"1124","IF/IB","In the Front -or- In the Back"
"1125","IFAB","I Found A Bug"
"1126","IFH8TABX","I F***ing Hate This Acronym Bollocks"
"1127","IFU","I F***ed Up"
"1128","Igers","Instagrammers"
"1129","IGGP","I Gotta Go Pee"
"1130","IGTP","I Get The Point"
"1131","IGWS","It Goes Without Saying"
"1132","IGWST","It Goes Without Saying That"
"1133","IGYHTBT","I Guess You Had To Be There"
"1134","IHA","I Hate Acronyms"
"1135","IHAIM","I Have Another Instant Message"
"1136","IHNC","I Have No Clue"
"1137","IHNO","I Have No Opinion"
"1138","IHR","Involuntary Hormonal Reaction"
"1139","IHTFP","I Have Truly Found Paradise -or- I Hate This F***ing Place"
"1140","IHU","I Hear You"
"1141","IHY","I Heart You -or- I Hate You"
"1142","IIABDFI","If It Ain't Broke, Don't Fix It"
"1143","IIIO","Intel Inside, Idiot Outside"
"1144","IIMAD","If It Makes Any Difference"
"1145","IINM","If I'm Not Mistaken"
"1146","IIR","If I Remember -or- If I Recall"
"1147","IIRC","If I Remember Correctly -or- If I Recall Correctly"
"1148","IIT","Is It Tight?"
"1149","IITLYTO","If It's Too Loud You're Too Old"
"1150","IITM","It's In The Mail"
"1151","IITYWIMWYBMAD","If I Tell You What It Means Will You Buy Me A Drink"
"1152","IITYWYBMAD","If I Tell You Will You Buy Me A Drink"
"1153","IIWII","It Is What It Is"
"1154","IIWM","If It Were Me"
"1155","IJ","Inside Joke"
"1156","IJPMP","I Just Pissed My Pants"
"1157","IJS","I'm Just Saying..."
"1158","IJWTK","I Just Want To Know"
"1159","IJWTS","I Just Want To Say"
"1160","IKALOPLT","I Know A Lot Of People Like That"
"1161","IKR","I Know, Right?"
"1162","IKWYM","I Know What You Mean"
"1163","IKYABWAI","I Know You Are But What Am I?"
"1164","ILA","I Love Acronyms"
"1165","ILBCNU","I'll Be Seeing You"
"1166","ILBCNUL8r","I'll Be Seeing You Later"
"1167","ILF/MD","I Love Female/Male Dominance"
"1168","ILI","I Love It"
"1169","ILICISCOMK","I Laughed, I Cried, I Spat/Spilt Coffee/Crumbs/Coke On My Keyboard"
"1170","ILMJ","I Love My Job"
"1171","ILU","I Love You"
"1172","ILUAAF","I Love You As A Friend"
"1173","ILY","I Love You"
"1174","ILY2","I Like/Love You Too"
"1175","IM","Instant Messaging -or- Immediate Message"
"1176","IM2BZ2P","I aM Too Busy To (even) Pee"
"1177","IMA","I Might Add"
"1178","IMAO","In My Arrogant Opinion"
"1179","IMCO","In My Considered Opinion"
"1180","IME","In My Experience"
"1181","IMEZRU","I Am Easy, Are You?"
"1182","IMF","In My Feelings"
"1183","IMFAO","In My F***ing Arrogant Opinion"
"1184","imfkd^","I am f***ed up"
"1185","IMGC","I Might Get Caught"
"1186","IMHEIUO","In My High Exalted Informed Unassailable Opinion"
"1187","IMHIF","I Move How I Feel"
"1188","IMHO","In My Humble Opinion"
"1189","IMI","I Mean It"
"1190","IMJS","I'M Just Saying"
"1191","IMML","I Make Myself Laugh"
"1192","IMNERHO","In My Never Even Remotely Humble Opinion"
"1193","IMNSHO","In My Not So Humble Opinion"
"1194","IMO","In My Opinion"
"1195","IMOO","In My Own Opinion"
"1196","IMOWHA","I Made Out With Him/Her Anyway"
"1197","IMPOV","In My Point Of View"
"1198","IMR","I Mean Really"
"1199","IMRU","I Am, Are You?"
"1200","IMS","I Am Sorry"
"1201","INBD","It's No Big Deal"
"1202","INCH","I’m Never Coming Home"
"1203","INCYDK","In Case You Didn't Know"
"1204","INMP","It's Not My Problem"
"1205","INNW","If Not Now When?"
"1206","INPO","In No Particular Order"
"1207","INUCOSM","It's No Use Crying Over Spilt Milk"
"1208","IOH","I'm Outta Here"
"1209","ION","Index Of Names"
"1210","IONO","I Don't Know"
"1211","IOT","In Order To"
"1212","IOTTCO","Intuitively Obvious To The Casual Observer"
"1213","IOU","I Owe You"
"1214","IOUD","Inside, Outside, Upside Down"
"1215","IOW","In Other Words"
"1216","IPN","I'm Posting Naked"
"1217","IRL","In Real Life"
"1218","IRNCOT","I'd Rather Not Comment On That"
"1219","ISAGN","I See A Great Need"
"1220","ISH","Insert Sarcasm Here"
"1221","ISO","In Search Of"
"1222","ISS","I Said So -or- I'm So Sure"
"1223","ISSOYS","I'm So Sick Of Your Stuff -or- S*** -or- Stories"
"1224","ISSYGTI","I'm So Sure You Get The Idea"
"1225","ISTM","It Seems To Me"
"1226","ISTR","I Seem To Remember"
"1227","ISWC","If Stupid Were a Crime"
"1228","ISWYM","I See What You Mean"
"1229","ISYALS","I'll Send You A Letter Soon"
"1230","ITA","I Totally Agree"
"1231","ITFA","In The Final Analysis"
"1232","ITGFT","I Thank God For This"
"1233","ITIGBS","I Think I'm Going To Be Sick"
"1234","ITM","In The Money"
"1235","ITMA","It's That Man Again"
"1236","ITMFA","Impeach The Mother F***er Already"
"1237","ITS","Intense Text Sex"
"1238","ITS A D8","It's A Date"
"1239","ITSFWI","If The Shoe Fits Wear It"
"1240","IUM","If You Must"
"1241","IURI","If You Are Interested"
"1242","IWALU","I Will Always Love You"
"1243","IWBAPTAKYAIYSTA","I Will Buy A Plane Ticket And Kick Your Ass If You Say That Again"
"1244","IWBNI","It Would Be Nice If"
"1245","IWFU","I Wanna F*** You"
"1246","IWFY","I Will Follow You"
"1247","IWIWU","I Wish I Was You"
"1248","IWSN","I Want Sex Now"
"1249","IWTKCR","I'm What The Kids Call Relatable"
"1250","IYAM","If You Ask Me"
"1251","IYAOYAS","If You Ain't Ordinance You Ain't Sh**"
"1252","IYCSSNASDSAAA","If You Can’t Say Something Nice About Someone Don’t Say Anything At All"
"1253","IYD","In Your Dreams"
"1254","IYDMMA","If You Don't Mind My Asking"
"1255","IYFD","In Your F***ing Dreams"
"1256","IYFEG","Insert Your Favorite Ethnic Group"
"1257","IYKWIM","If You Know What I Mean"
"1258","IYKWIMAITYD","If You Know What I Mean And I Think You Do"
"1259","IYNAEGBTM","If You Need Anything Else Get Back To Me"
"1260","IYO","In Your Opinion"
"1261","IYQ","I Like You"
"1262","IYSS","If You Say So"
"1263","IYSWIM","If You See What I Mean"
"1264","J/C","Just Checking"
"1265","J/J","Just Joking"
"1266","J/K","Just Kidding"
"1267","J/O","Jerking Off"
"1268","J/P","Just Playing"
"1269","J/W","Just Wondering"
"1270","J2LYK","Just To Let You Know"
"1271","J4F","Just For Fun"
"1272","J4G","Just For Grins"
"1273","J4T or JFT","Just For Today"
"1274","J5M","Just Five Minutes"
"1275","JAD","Just Another Day"
"1276","JAFO","Just Another F***ing Onlooker"
"1277","JAFS","Just A F***ing Salesman"
"1278","JAM","Just A Minute"
"1279","JAS","Just A Second"
"1280","JATA","Just Another Twitter App"
"1281","JC","Just Curious -or- Just Chilling -or- Jesus Christ"
"1282","JDI","Just Do It"
"1283","JDMJ","Just Doing My Job"
"1284","Jealz","Jealous"
"1285","JEOMK","Just Ejaculated On My Keyboard"
"1286","JFC","Jesus F***ing Christ"
"1287","JFH","Just F*** Her"
"1288","JFI","Just For Information"
"1289","JGH","Just Got Home"
"1290","JGMB","Just Google Me B*tch"
"1291","JHO","Just Helping Out"
"1292","JHOM","Just Helping out My (Mafia, Mob, Neighbors, etc.)"
"1293","JHOMF","Just Helping Out My Friend(s)"
"1294","JIC","Just In Case"
"1295","JK","Just Kidding"
"1296","JLY","Jesus Loves You"
"1297","JM2C","Just My 2 Cents"
"1298","JMDTP30","Join Me Down The Pub (in 30 mins)"
"1299","JMO","Just My Opinion"
"1300","JOML","Jesus On the Main Line"
"1301","JOMO","Joy Of Missing Out"
"1302","JOOTT","Just One Of Those Things"
"1303","JOY","Jesus first, Others second, Yourself last"
"1304","JP","Just Playing"
"1305","JS","Just Saying"
"1306","JSO","Job Shaped Object"
"1307","JSU","Just Shut Up"
"1308","JSYK","Just So You Know"
"1309","JT","Just Teasing"
"1310","JTLYK","Just To Let You Know"
"1311","JTOL","Just Thinking Out Loud"
"1312","JTOU","Just Thinking Of You"
"1313","JUADLAM","Jumping Up And Down Like A Monkey"
"1314","JW","Just Wondering"
"1315","K","OK"
"1316","KAB","Kick Ass Bitch"
"1317","KB","Kick Butt"
"1318","KBD","Keyboard"
"1319","KC","Keep Cool"
"1320","KCCO","Keep Calm & Carry On"
"1321","kewl","it means cool"
"1322","KFB","Kindly Follow Back"
"1323","KFY -or- K4Y","Kiss For You"
"1324","KHYF","Know How You Feel"
"1325","KIA","Killed In Action"
"1326","KIBO","Knowledge In, Bullsh** Out"
"1327","KIPPERS","Kids In Parents' Pockets Eroding Retirement Savings"
"1328","KIR","Keep It Real"
"1329","KISS","Keep It Simple Stupid"
"1330","KIT","Keep In Touch"
"1331","kitty","it means pussy"
"1332","KITY","Keep It To Yourself"
"1333","KK","Kiss Kiss -or- OK"
"1334","KKK","it means ""over"" as in, waiting for your reply"
"1335","KMA","Kiss My Ass"
"1336","KMBA","Kiss My Black Ass"
"1337","KMFHA","Kiss My Fat Hairy Ass"
"1338","KMIM","Keep Me In Mind"
"1339","KMP","Keep Me Posted"
"1340","KMRIA","Kiss My Royal Irish Arse"
"1341","KMS","Kill MySelf"
"1342","KMSLA","Kiss My Shiny Little Ass"
"1343","KMUF","Kiss Me You Fool"
"1344","KMWA","Kiss My White Ass"
"1345","KO","Knocked Out"
"1346","KOK","Knock"
"1347","KOTC","Kiss On The Cheek"
"1348","KOTL","Kiss On The Lips"
"1349","KPC","Keeping Parents Clueless"
"1350","KS","Kill Stealer"
"1351","kudt","Dutch for f***ed up life"
"1352","KUTGW","Keep Up The Good Work"
"1353","KWIM","Know What I Mean?"
"1354","KWSTA","Kiss With Serious Tongue Action"
"1355","KYBC","Keep Your Bum Clean"
"1356","KYFC","Keep Your Fingers Crossed"
"1357","KYNC","Keep Your Nose Clean"
"1358","KYPO","Keep Your Pants On"
"1359","KYR","Know Your Rank"
"1360","KYS","Kill YourSelf"
"1361","KYSOTI","Keep Your Stick On The Ice"
"1362","L","Laugh"
"1363","L&R","Love and Respect"
"1364","L/M","Left Message"
"1365","L8TR","Later"
"1366","L?^","Let's hook up"
"1367","L@U","Laughing At You -or- Laughing About You"
"1368","LA","Laughing Aloud"
"1369","LABATYD","Life's A Bitch And Then You Die"
"1370","LAFW","Listening (but) Away From Window"
"1371","LAGNAF","Lets All Get Naked And F***"
"1372","LAGO","Life Always Goes On"
"1373","LAOJ","Laughing At Own Joke"
"1374","LAQ","Lame Ass Quote"
"1375","LB","Like Back"
"1376","LB?W/C","Like Bondage? Whips or Chains"
"1377","LBH","Let's Be Honest"
"1378","LBR and LGR","Little Boy's Room and Little Girl's Room"
"1379","LBS","Laughing But Serious"
"1380","LBUG or LBIG","Laughing Because You're Gay -or- Laughing Because I'm Gay"
"1381","LD","Long Distance -or- Later Dude"
"1382","LDIMEDILLIGAF","Look Deeply Into My Eyes, Does It Look Like I Give A F***"
"1383","LDR","Long Distance Relationship"
"1384","LDTTWA","Let's Do The Time Warp Again"
"1385","LESM","Law Enforcement Social Media"
"1386","LF","Let's F***"
"1387","LFL","Lady oF Leisure -or- Loner For Life"
"1388","LFTI","Looking Forward To It"
"1389","LFU","Life""s F***ed Up"
"1390","LG","Life's Good -or- Long Gone"
"1391","LGBT","Lesbian, Gay, Bisexual, Transgender"
"1392","LGBTQ+","Lesbian, Gay, Bisexual, Transgender, Queer +"
"1393","LGGBDTTTIQQAAPP","Lesbian, Gay, Genderqueer, Bisexual, Demisexual, Transgender, Transsexual, Twospirit, Intersex, Queer, Questioning, Asexual, Allies, Pansexual, Polyamorous"
"1394","LGMAS","Lord Give Me A Sign"
"1395","LGTM","Looks Good To Me"
"1396","LGY","Little Girl Yeah"
"1397","LH","Laughing Hysterically"
"1398","LH6","Let’s Have Sex"
"1399","LHK","Love Hugs Kisses"
